,timestamp,symbol,side,size,price,tickDirection,trdMatchID,grossValue,homeNotional,foreignNotional
32,2020-04-26T13:13:55.351Z,XBTUSD,Sell,52,7671.0,ZeroMinusTick,6861c8c3-79e5-4d39-90e6-063f06acc959,677872,0.00677872,52
33,2020-04-26T13:13:55.351Z,XBTUSD,Sell,66,7671.0,ZeroMinusTick,429651ec-fe01-a183-a53c-57121c12f0bf,860376,0.00860376,66
34,2020-04-26T13:13:55.351Z,XBTUSD,Sell,300,7671.0,ZeroMinusTick,299ac95c-0e7b-3370-b772-42e9fc045c0b,3910800,0.039108,300
35,2020-04-26T13:13:55.351Z,XBTUSD,Sell,3,7671.0,ZeroMinusTick,ed5f30dc-e7e0-01c5-888c-9ed94558ef90,39108,0.00039108,3
36,2020-04-26T13:13:55.343Z,XBTUSD,Sell,20,7671.0,ZeroMinusTick,af62135e-f6d0-18b2-faab-e9c084530794,260720,0.0026072,20
37,2020-04-26T13:13:55.194Z,XBTUSD,Sell,7,7671.0,ZeroMinusTick,dbd2a562-f4fb-e89f-29ae-cd4d03e84993,91252,0.00091252,7
38,2020-04-26T13:13:55.194Z,XBTUSD,Sell,24,7671.0,ZeroMinusTick,a16f82d4-3528-7ba6-392d-53f0dbc2f49f,312864,0.00312864,24
39,2020-04-26T13:13:55.194Z,XBTUSD,Sell,21,7671.0,ZeroMinusTick,3be7f173-5395-dd4a-729b-0c46a3e827a5,273756,0.00273756,21
40,2020-04-26T13:13:55.194Z,XBTUSD,Sell,34,7671.0,ZeroMinusTick,0ddb213a-f723-31ad-5a03-e3b901b2cd4f,443224,0.00443224,34
41,2020-04-26T13:13:55.194Z,XBTUSD,Sell,35,7671.0,ZeroMinusTick,6f86413e-c36f-d528-dc63-7bb2727b7b7b,456260,0.0045626,35
42,2020-04-26T13:13:55.194Z,XBTUSD,Sell,34,7671.0,ZeroMinusTick,2988636a-b3dd-0c96-555f-ef867445ab1c,443224,0.00443224,34
43,2020-04-26T13:13:55.194Z,XBTUSD,Sell,36,7671.0,ZeroMinusTick,25ecff72-e6fc-4201-bb2c-f1e4e6618e77,469296,0.00469296,36
